E_nX	E_X	C_nX	C_X
	The car {Comp} the tree hit burned {Conn} the car burned.|The car {Comp} the tree hit burned {Conn} the tree hit the car.		The car {Comp} the tree hit burned {Conn} the tree burned.|The car {Comp} the tree hit burned {Conn} the car hit the tree.
	The tree {Comp} the car hit burned {Conn} the tree burned.|The tree {Comp} the car hit burned {Conn} the car hit the tree.		The tree {Comp} the car hit burned {Conn} the car burned.|The tree {Comp} the car hit burned {Conn} the tree hit the car.
	The car {Comp} the tree hit shook {Conn} the car shook.|The car {Comp} the tree hit shook {Conn} the tree hit the car.		The car {Comp} the tree hit shook {Conn} the tree shook.|The car {Comp} the tree hit shook {Conn} the car hit the tree.
	The tree {Comp} the car hit shook {Conn} the tree shook.|The tree {Comp} the car hit shook {Conn} the car hit the tree.		The tree {Comp} the car hit shook {Conn} the car shook.|The tree {Comp} the car hit shook {Conn} the tree hit the car.
	The grandma {Comp} the girl kissed smiled {Conn} the grandma smiled.|The grandma {Comp} the girl kissed smiled {Conn} the girl kissed the grandma.		The grandma {Comp} the girl kissed smiled {Conn} the girl smiled.|The grandma {Comp} the girl kissed smiled {Conn} the grandma kissed the girl.
	The girl {Comp} the grandma kissed smiled {Conn} the girl smiled.|The girl {Comp} the grandma kissed smiled {Conn} the grandma kissed the girl.		The girl {Comp} the grandma kissed smiled {Conn} the grandma smiled.|The girl {Comp} the grandma kissed smiled {Conn} the girl kissed the grandma.
	The grandma {Comp} the girl kissed laughed {Conn} the grandma laughed.|The grandma {Comp} the girl kissed laughed {Conn} the girl kissed the grandma.		The grandma {Comp} the girl kissed laughed {Conn} the girl laughed.|The grandma {Comp} the girl kissed laughed {Conn} the grandma kissed the girl.
	The girl {Comp} the grandma kissed laughed {Conn} the girl laughed.|The girl {Comp} the grandma kissed laughed {Conn} the grandma kissed the girl.		The girl {Comp} the grandma kissed laughed {Conn} the grandma laughed.|The girl {Comp} the grandma kissed laughed {Conn} the girl kissed the grandma.
	The dog {Comp} the cat bit jumped {Conn} the dog jumped.|The dog {Comp} the cat bit jumped {Conn} the cat bit the dog.		The dog {Comp} the cat bit jumped {Conn} the cat jumped.|The dog {Comp} the cat bit jumped {Conn} the dog bit the cat.
	The cat {Comp} the dog bit jumped {Conn} the cat jumped.|The cat {Comp} the dog bit jumped {Conn} the dog bit the cat.		The cat {Comp} the dog bit jumped {Conn} the dog jumped.|The cat {Comp} the dog bit jumped {Conn} the cat bit the dog.
	The dog {Comp} the cat bit hid {Conn} the dog hid.|The dog {Comp} the cat bit hid {Conn} the cat bit the dog.		The dog {Comp} the cat bit hid {Conn} the cat hid.|The dog {Comp} the cat bit hid {Conn} the dog bit the cat.
	The cat {Comp} the dog bit hid {Conn} the cat hid.|The cat {Comp} the dog bit hid {Conn} the dog bit the cat.		The cat {Comp} the dog bit hid {Conn} the dog hid.|The cat {Comp} the dog bit hid {Conn} the cat bit the dog.
	The lion {Comp} the tiger chased growled {Conn} the lion growled.|The lion {Comp} the tiger chased growled {Conn} the tiger chased the lion.		The lion {Comp} the tiger chased growled {Conn} the tiger growled.|The lion {Comp} the tiger chased growled {Conn} the lion chased the tiger.
	The tiger {Comp} the lion chased growled {Conn} the tiger growled.|The tiger {Comp} the lion chased growled {Conn} the lion chased the tiger.		The tiger {Comp} the lion chased growled {Conn} the lion growled.|The tiger {Comp} the lion chased growled {Conn} the tiger chased the lion.
	The lion {Comp} the tiger chased yawned {Conn} the lion yawned.|The lion {Comp} the tiger chased yawned {Conn} the tiger chased the lion.		The lion {Comp} the tiger chased yawned {Conn} the tiger yawned.|The lion {Comp} the tiger chased yawned {Conn} the lion chased the tiger.
	The tiger {Comp} the lion chased yawned {Conn} the tiger yawned.|The tiger {Comp} the lion chased yawned {Conn} the lion chased the tiger.		The tiger {Comp} the lion chased yawned {Conn} the lion yawned.|The tiger {Comp} the lion chased yawned {Conn} the tiger chased the lion.
	The doctor {Comp} the patient reviewed sat {Conn} the doctor sat.|The doctor {Comp} the patient reviewed sat {Conn} the patient reviewed the doctor.		The doctor {Comp} the patient reviewed sat {Conn} the patient sat.|The doctor {Comp} the patient reviewed sat {Conn} the doctor reviewed the patient.
	The patient {Comp} the doctor reviewed sat {Conn} the patient sat.|The patient {Comp} the doctor reviewed sat {Conn} the doctor reviewed the patient.		The patient {Comp} the doctor reviewed sat {Conn} the doctor sat.|The patient {Comp} the doctor reviewed sat {Conn} the patient reviewed the doctor.
	The doctor {Comp} the patient reviewed blinked {Conn} the doctor blinked.|The doctor {Comp} the patient reviewed blinked {Conn} the patient reviewed the doctor.		The doctor {Comp} the patient reviewed blinked {Conn} the patient blinked.|The doctor {Comp} the patient reviewed blinked {Conn} the doctor reviewed the patient.
	The patient {Comp} the doctor reviewed blinked {Conn} the patient blinked.|The patient {Comp} the doctor reviewed blinked {Conn} the doctor reviewed the patient.		The patient {Comp} the doctor reviewed blinked {Conn} the doctor blinked.|The patient {Comp} the doctor reviewed blinked {Conn} the patient reviewed the doctor.
	The President {Comp} the beaurocrat noticed contemplated {Conn} the President contemplated.|The President {Comp} the beaurocrat noticed contemplated {Conn} the beaurocrat noticed the President.		The President {Comp} the beaurocrat noticed contemplated {Conn} the beaurocrat contemplated.|The President {Comp} the beaurocrat noticed contemplated {Conn} the President noticed the beaurocrat.
	The beaurocrat {Comp} the President noticed contemplated {Conn} the beaurocrat contemplated.|The beaurocrat {Comp} the President noticed contemplated {Conn} the President noticed the beaurocrat.		The beaurocrat {Comp} the President noticed contemplated {Conn} the President contemplated.|The beaurocrat {Comp} the President noticed contemplated {Conn} the beaurocrat noticed the President.
	The President {Comp} the beaurocrat noticed tweeted {Conn} the President tweeted.|The President {Comp} the beaurocrat noticed tweeted {Conn} the beaurocrat noticed the President.		The President {Comp} the beaurocrat noticed tweeted {Conn} the beaurocrat tweeted.|The President {Comp} the beaurocrat noticed tweeted {Conn} the President noticed the beaurocrat.
