inference	item	correct	crossing	subform.id	{Prep}	{E/D}	{Comp}	{Conn}	connective.summ	surprisal.idx
That is the car that hit the tree, by contrast, the car hit the tree.	0	True	True	1		That is	that	, by contrast, 	False	48
This is the car that hit the tree, by contrast, the car hit the tree.	0	True	True	1		This is	that	, by contrast, 	False	48
Here is the car that hit the tree, by contrast, the car hit the tree.	0	True	True	1		Here is	that	, by contrast, 	False	48
That is the car that hit the tree, by contrast, the car hit the tree.	0	True	True	1		That is	that	, by contrast, 	False	48
This is the car that hit the tree, by contrast, the car hit the tree.	0	True	True	1		This is	that	, by contrast, 	False	48
Here is the car that hit the tree, by contrast, the car hit the tree.	0	True	True	1		Here is	that	, by contrast, 	False	48
That is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		That is	that	; by contrast, 	False	48
This is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		This is	that	; by contrast, 	False	48
Here is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		Here is	that	; by contrast, 	False	48
That is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		That is	that	; by contrast, 	False	48
This is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		This is	that	; by contrast, 	False	48
Here is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		Here is	that	; by contrast, 	False	48
That is the car that hit the tree, on the other hand, the car hit the tree.	0	True	True	1		That is	that	, on the other hand, 	False	54
This is the car that hit the tree, on the other hand, the car hit the tree.	0	True	True	1		This is	that	, on the other hand, 	False	54
Here is the car that hit the tree, on the other hand, the car hit the tree.	0	True	True	1		Here is	that	, on the other hand, 	False	54
That is the car that hit the tree, on the other hand, the car hit the tree.	0	True	True	1		That is	that	, on the other hand, 	False	54
This is the car that hit the tree, on the other hand, the car hit the tree.	0	True	True	1		This is	that	, on the other hand, 	False	54
Here is the car that hit the tree, on the other hand, the car hit the tree.	0	True	True	1		Here is	that	, on the other hand, 	False	54
That is the car that hit the tree; on the other hand, the car hit the tree.	0	True	True	1		That is	that	; on the other hand, 	False	54
This is the car that hit the tree; on the other hand, the car hit the tree.	0	True	True	1		This is	that	; on the other hand, 	False	54
Here is the car that hit the tree; on the other hand, the car hit the tree.	0	True	True	1		Here is	that	; on the other hand, 	False	54
That is the car that hit the tree; on the other hand, the car hit the tree.	0	True	True	1		That is	that	; on the other hand, 	False	54
This is the car that hit the tree; on the other hand, the car hit the tree.	0	True	True	1		This is	that	; on the other hand, 	False	54
Here is the car that hit the tree; on the other hand, the car hit the tree.	0	True	True	1		Here is	that	; on the other hand, 	False	54
That is the car that hit the tree, thus, the car hit the tree.	0	True	True	1		That is	that	, thus, 	True	41
This is the car that hit the tree, thus, the car hit the tree.	0	True	True	1		This is	that	, thus, 	True	41
Here is the car that hit the tree, thus, the car hit the tree.	0	True	True	1		Here is	that	, thus, 	True	41
That is the car that hit the tree, thus, the car hit the tree.	0	True	True	1		That is	that	, thus, 	True	41
This is the car that hit the tree, thus, the car hit the tree.	0	True	True	1		This is	that	, thus, 	True	41
Here is the car that hit the tree, thus, the car hit the tree.	0	True	True	1		Here is	that	, thus, 	True	41
That is the car that hit the tree; thus, the car hit the tree.	0	True	True	1		That is	that	; thus, 	True	41
