inference	item	correct	crossing	subform.id	{Prep}	{E/D}	{Comp}	{Conn}	connective.summ	surprisal.idx
The car burned and the tree shook; by contrast, the car burned.	0	True	True	1				; by contrast, 	False	48
The car burned and the tree shook; in short, the car burned.	0	True	True	1				; in short, 	True	45
The car burned and the tree shook; by contrast, the tree shook.	0	True	True	2				; by contrast, 	False	48
The car burned and the tree shook; in short, the tree shook.	0	True	True	2				; in short, 	True	45
The car burned and the tree shook; by contrast, the tree burned.	0	False	True	1				; by contrast, 	False	48
The car burned and the tree shook; in short, the tree burned.	0	False	True	1				; in short, 	True	45
The car burned and the tree shook; by contrast, the car shook.	0	False	True	2				; by contrast, 	False	48
The car burned and the tree shook; in short, the car shook.	0	False	True	2				; in short, 	True	45
The tree burned and the car shook; by contrast, the tree burned.	0	True	True	1				; by contrast, 	False	48
The tree burned and the car shook; in short, the tree burned.	0	True	True	1				; in short, 	True	45
The tree burned and the car shook; by contrast, the car shook.	0	True	True	2				; by contrast, 	False	48
The tree burned and the car shook; in short, the car shook.	0	True	True	2				; in short, 	True	45
The tree burned and the car shook; by contrast, the car burned.	0	False	True	1				; by contrast, 	False	48
The tree burned and the car shook; in short, the car burned.	0	False	True	1				; in short, 	True	45
The tree burned and the car shook; by contrast, the tree shook.	0	False	True	2				; by contrast, 	False	48
The tree burned and the car shook; in short, the tree shook.	0	False	True	2				; in short, 	True	45
The car shook and the tree burned; by contrast, the car shook.	0	True	True	1				; by contrast, 	False	48
The car shook and the tree burned; in short, the car shook.	0	True	True	1				; in short, 	True	45
The car shook and the tree burned; by contrast, the tree burned.	0	True	True	2				; by contrast, 	False	48
The car shook and the tree burned; in short, the tree burned.	0	True	True	2				; in short, 	True	45
The car shook and the tree burned; by contrast, the tree shook.	0	False	True	1				; by contrast, 	False	48
The car shook and the tree burned; in short, the tree shook.	0	False	True	1				; in short, 	True	45
The car shook and the tree burned; by contrast, the car burned.	0	False	True	2				; by contrast, 	False	48
The car shook and the tree burned; in short, the car burned.	0	False	True	2				; in short, 	True	45
The tree shook and the car burned; by contrast, the tree shook.	0	True	True	1				; by contrast, 	False	48
The tree shook and the car burned; in short, the tree shook.	0	True	True	1				; in short, 	True	45
The tree shook and the car burned; by contrast, the car burned.	0	True	True	2				; by contrast, 	False	48
The tree shook and the car burned; in short, the car burned.	0	True	True	2				; in short, 	True	45
The tree shook and the car burned; by contrast, the tree burned.	0	False	True	1				; by contrast, 	False	48
The tree shook and the car burned; in short, the tree burned.	0	False	True	1				; in short, 	True	45
The tree shook and the car burned; by contrast, the car shook.	0	False	True	2				; by contrast, 	False	48
The tree shook and the car burned; in short, the car shook.	0	False	True	2				; in short, 	True	45
The grandma smiled and the girl laughed; by contrast, the grandma smiled.	1	True	True	1				; by contrast, 	False	54
The grandma smiled and the girl laughed; in short, the grandma smiled.	1	True	True	1				; in short, 	True	51
The grandma smiled and the girl laughed; by contrast, the girl laughed.	1	True	True	2				; by contrast, 	False	54
The grandma smiled and the girl laughed; in short, the girl laughed.	1	True	True	2				; in short, 	True	51
The grandma smiled and the girl laughed; by contrast, the girl smiled.	1	False	True	1				; by contrast, 	False	54
The grandma smiled and the girl laughed; in short, the girl smiled.	1	False	True	1				; in short, 	True	51
The grandma smiled and the girl laughed; by contrast, the grandma laughed.	1	False	True	2				; by contrast, 	False	54
The grandma smiled and the girl laughed; in short, the grandma laughed.	1	False	True	2				; in short, 	True	51
The girl smiled and the grandma laughed; by contrast, the girl smiled.	1	True	True	1				; by contrast, 	False	54
The girl smiled and the grandma laughed; in short, the girl smiled.	1	True	True	1				; in short, 	True	51
The girl smiled and the grandma laughed; by contrast, the grandma laughed.	1	True	True	2				; by contrast, 	False	54
