Surprisal	Preposition	E/D	Connective	Crossing
52.82084655761719			. Thus, 	E_nX
54.16903305053711			. That is, 	E_nX
52.814903259277344			. Therefore, 	E_nX
54.15019989013672			. In short, 	E_nX
55.493408203125			. Again, 	E_nX
60.74581527709961			. I repeat, 	E_nX
52.425323486328125			; thus, 	E_nX
52.623565673828125			; that is, 	E_nX
53.22350311279297			; therefore, 	E_nX
53.531455993652344			; in short, 	E_nX
55.99706268310547			; again, 	E_nX
59.854042053222656			; I repeat, 	E_nX
52.82084655761719			. Thus, 	E_nX
54.16903305053711			. That is, 	E_nX
52.814903259277344			. Therefore, 	E_nX
54.15019989013672			. In short, 	E_nX
55.493408203125			. Again, 	E_nX
60.74581527709961			. I repeat, 	E_nX
52.425323486328125			; thus, 	E_nX
52.623565673828125			; that is, 	E_nX
53.22350311279297			; therefore, 	E_nX
53.531455993652344			; in short, 	E_nX
55.99706268310547			; again, 	E_nX
59.854042053222656			; I repeat, 	E_nX
35.17609405517578			. Thus, 	E_X
36.99891662597656			. That is, 	E_X
35.18791198730469			. Therefore, 	E_X
36.926265716552734			. In short, 	E_X
36.73955154418945			. Again, 	E_X
37.21879577636719			. I repeat, 	E_X
34.11283493041992			; thus, 	E_X
35.531227111816406			; that is, 	E_X
34.30681228637695			; therefore, 	E_X
36.29121780395508			; in short, 	E_X
35.91645050048828			; again, 	E_X
36.3088264465332			; I repeat, 	E_X
35.17609405517578			. Thus, 	E_X
36.99891662597656			. That is, 	E_X
35.18791198730469			. Therefore, 	E_X
36.926265716552734			. In short, 	E_X
36.73955154418945			. Again, 	E_X
37.21879577636719			. I repeat, 	E_X
34.11283493041992			; thus, 	E_X
35.531227111816406			; that is, 	E_X
34.30681228637695			; therefore, 	E_X
36.29121780395508			; in short, 	E_X
35.91645050048828			; again, 	E_X
36.3088264465332			; I repeat, 	E_X
51.715938568115234			. Thus, 	C_nX
52.65132522583008			. That is, 	C_nX
51.50927734375			. Therefore, 	C_nX
53.02992630004883			. In short, 	C_nX
53.37226867675781			. Again, 	C_nX
57.45049285888672			. I repeat, 	C_nX
51.153053283691406			; thus, 	C_nX
51.28974151611328			; that is, 	C_nX
51.66440200805664			; therefore, 	C_nX
52.47423553466797			; in short, 	C_nX
53.924285888671875			; again, 	C_nX
57.143951416015625			; I repeat, 	C_nX
51.715938568115234			. Thus, 	C_nX
52.65132522583008			. That is, 	C_nX
51.50927734375			. Therefore, 	C_nX
53.02992630004883			. In short, 	C_nX
53.37226867675781			. Again, 	C_nX
57.45049285888672			. I repeat, 	C_nX
51.153053283691406			; thus, 	C_nX
51.28974151611328			; that is, 	C_nX
51.66440200805664			; therefore, 	C_nX
52.47423553466797			; in short, 	C_nX
53.924285888671875			; again, 	C_nX
57.143951416015625			; I repeat, 	C_nX
33.952911376953125			. Thus, 	C_X
