E_nX	E_X	C_nX	C_X
{E/D} the car {Comp} hit the tree {Conn} the car hit the tree.		{E/D} the car {Comp} hit the tree {Conn} the tree hit the car.	
{E/D} the tree {Comp} hit the car {Conn} the tree hit the car.		{E/D} the tree {Comp} hit the car {Conn} the car hit the tree.	
{E/D} the grandma {Comp} kissed the girl {Conn} the grandma kissed the girl.		{E/D} the grandma {Comp} kissed the girl {Conn} the girl kissed the grandma.	
{E/D} the girl {Comp} kissed the grandma {Conn} the girl kissed the grandma.		{E/D} the girl {Comp} kissed the grandma {Conn} the grandma kissed the girl.	
{E/D} the dog {Comp} bit the cat {Conn} the dog bit the cat.		{E/D} the dog {Comp} bit the cat {Conn} the cat bit the dog.	
{E/D} the cat {Comp} bit the dog {Conn} the cat bit the dog.		{E/D} the cat {Comp} bit the dog {Conn} the dog bit the cat.	
{E/D} the lion {Comp} chased the tiger {Conn} the lion chased the tiger.		{E/D} the lion {Comp} chased the tiger {Conn} the tiger chased the lion.	
{E/D} the tiger {Comp} chased the lion {Conn} the tiger chased the lion.		{E/D} the tiger {Comp} chased the lion {Conn} the lion chased the tiger.	
{E/D} the doctor {Comp} reviewed the patient {Conn} the doctor reviewed the patient.		{E/D} the doctor {Comp} reviewed the patient {Conn} the patient reviewed the doctor.	
{E/D} the patient {Comp} reviewed the doctor {Conn} the patient reviewed the doctor.		{E/D} the patient {Comp} reviewed the doctor {Conn} the doctor reviewed the patient.	
{E/D} the President {Comp} noticed the beaurocrat {Conn} the President noticed the beaurocrat.		{E/D} the President {Comp} noticed the beaurocrat {Conn} the beaurocrat noticed the President.	
{E/D} the beaurocrat {Comp} noticed the President {Conn} the beaurocrat noticed the President.		{E/D} the beaurocrat {Comp} noticed the President {Conn} the President noticed the beaurocrat.	
{E/D} the bride {Comp} slapped the priest {Conn} the bride slapped the priest.		{E/D} the bride {Comp} slapped the priest {Conn} the priest slapped the bride.	
{E/D} the priest {Comp} slapped the bride {Conn} the priest slapped the bride.		{E/D} the priest {Comp} slapped the bride {Conn} the bride slapped the priest.	
{E/D} the bee {Comp} appreciated the flower {Conn} the bee appreciated the flower.		{E/D} the bee {Comp} appreciated the flower {Conn} the flower appreciated the bee.	
{E/D} the flower {Comp} appreciated the bee {Conn} the flower appreciated the bee.		{E/D} the flower {Comp} appreciated the bee {Conn} the bee appreciated the flower.	
{E/D} the baby {Comp} loved the nurse {Conn} the baby loved the nurse.		{E/D} the baby {Comp} loved the nurse {Conn} the nurse loved the baby.	
{E/D} the nurse {Comp} loved the baby {Conn} the nurse loved the baby.		{E/D} the nurse {Comp} loved the baby {Conn} the baby loved the nurse.	
{E/D} the virus {Comp} stopped the antibodies {Conn} the virus stopped the antibodies.		{E/D} the virus {Comp} stopped the antibodies {Conn} the antibodies stopped the virus.	
{E/D} the antibodies {Comp} stopped the virus {Conn} the antibodies stopped the virus.		{E/D} the antibodies {Comp} stopped the virus {Conn} the virus stopped the antibodies.	
{E/D} the chef {Comp} squeezed the octopus {Conn} the chef squeezed the octopus.		{E/D} the chef {Comp} squeezed the octopus {Conn} the octopus squeezed the chef.	
{E/D} the octopus {Comp} squeezed the chef {Conn} the octopus squeezed the chef.		{E/D} the octopus {Comp} squeezed the chef {Conn} the chef squeezed the octopus.	
{E/D} the journalist {Comp} pestered the senator {Conn} the journalist pestered the senator.		{E/D} the journalist {Comp} pestered the senator {Conn} the senator pestered the journalist.	
{E/D} the senator {Comp} pestered the journalist {Conn} the senator pestered the journalist.		{E/D} the senator {Comp} pestered the journalist {Conn} the journalist pestered the senator.	
{E/D} the ant {Comp} saw the grasshopper {Conn} the ant saw the grasshopper.		{E/D} the ant {Comp} saw the grasshopper {Conn} the grasshopper saw the ant.	
{E/D} the grasshopper {Comp} saw the ant {Conn} the grasshopper saw the ant.		{E/D} the grasshopper {Comp} saw the ant {Conn} the ant saw the grasshopper.	
{E/D} the princess {Comp} angered the witch {Conn} the princess angered the witch.		{E/D} the princess {Comp} angered the witch {Conn} the witch angered the princess.	
{E/D} the witch {Comp} angered the princess {Conn} the witch angered the princess.		{E/D} the witch {Comp} angered the princess {Conn} the princess angered the witch.	
