inference	item	correct	crossing	subform.id	{Prep}	{E/D}	{Comp}	{Conn}	connective.summ	surprisal.idx
This is the car that the tree hit; by contrast, the tree hit the car.	0	True	False	1		This is	that	; by contrast, 	False	48
This is the car that the tree hit; by contrast, the tree hit the car.	0	True	False	1		This is	that	; by contrast, 	False	48
This is the car that the tree hit; in short, the tree hit the car.	0	True	False	1		This is	that	; in short, 	True	45
This is the car that the tree hit; in short, the tree hit the car.	0	True	False	1		This is	that	; in short, 	True	45
This is the car that the tree hit; by contrast, the tree hit the car.	0	True	False	1		This is	that	; by contrast, 	False	46
This is the car that the tree hit; in short, the tree hit the car.	0	True	False	1		This is	that	; in short, 	True	43
This is the car that the tree hit; by contrast, the tree hit the car.	0	True	False	1		This is	that	; by contrast, 	False	48
This is the car that the tree hit; in short, the tree hit the car.	0	True	False	1		This is	that	; in short, 	True	45
This is the car that the tree hit; by contrast, the tree hit the car.	0	True	False	1		This is	that	; by contrast, 	False	50
This is the car that the tree hit; in short, the tree hit the car.	0	True	False	1		This is	that	; in short, 	True	47
This is the car that the tree hit; by contrast, the tree hit the car.	0	True	False	1		This is	that	; by contrast, 	False	48
This is the car that the tree hit; in short, the tree hit the car.	0	True	False	1		This is	that	; in short, 	True	45
This is the car that the tree hit; by contrast, the car hit the tree.	0	False	False	1		This is	that	; by contrast, 	False	48
This is the car that the tree hit; by contrast, the car hit the tree.	0	False	False	1		This is	that	; by contrast, 	False	48
This is the car that the tree hit; in short, the car hit the tree.	0	False	False	1		This is	that	; in short, 	True	45
This is the car that the tree hit; in short, the car hit the tree.	0	False	False	1		This is	that	; in short, 	True	45
This is the car that the tree hit; by contrast, the car hit the tree.	0	False	False	1		This is	that	; by contrast, 	False	46
This is the car that the tree hit; in short, the car hit the tree.	0	False	False	1		This is	that	; in short, 	True	43
This is the car that the tree hit; by contrast, the car hit the tree.	0	False	False	1		This is	that	; by contrast, 	False	48
This is the car that the tree hit; in short, the car hit the tree.	0	False	False	1		This is	that	; in short, 	True	45
This is the car that the tree hit; by contrast, the car hit the tree.	0	False	False	1		This is	that	; by contrast, 	False	50
This is the car that the tree hit; in short, the car hit the tree.	0	False	False	1		This is	that	; in short, 	True	47
This is the car that the tree hit; by contrast, the car hit the tree.	0	False	False	1		This is	that	; by contrast, 	False	48
This is the car that the tree hit; in short, the car hit the tree.	0	False	False	1		This is	that	; in short, 	True	45
This is the tree that the car hit; by contrast, the car hit the tree.	0	True	False	1		This is	that	; by contrast, 	False	48
This is the tree that the car hit; by contrast, the car hit the tree.	0	True	False	1		This is	that	; by contrast, 	False	48
This is the tree that the car hit; in short, the car hit the tree.	0	True	False	1		This is	that	; in short, 	True	45
This is the tree that the car hit; in short, the car hit the tree.	0	True	False	1		This is	that	; in short, 	True	45
This is the tree that the car hit; by contrast, the car hit the tree.	0	True	False	1		This is	that	; by contrast, 	False	46
This is the tree that the car hit; in short, the car hit the tree.	0	True	False	1		This is	that	; in short, 	True	43
This is the tree that the car hit; by contrast, the car hit the tree.	0	True	False	1		This is	that	; by contrast, 	False	48
This is the tree that the car hit; in short, the car hit the tree.	0	True	False	1		This is	that	; in short, 	True	45
This is the tree that the car hit; by contrast, the car hit the tree.	0	True	False	1		This is	that	; by contrast, 	False	50
This is the tree that the car hit; in short, the car hit the tree.	0	True	False	1		This is	that	; in short, 	True	47
This is the tree that the car hit; by contrast, the car hit the tree.	0	True	False	1		This is	that	; by contrast, 	False	48
This is the tree that the car hit; in short, the car hit the tree.	0	True	False	1		This is	that	; in short, 	True	45
This is the tree that the car hit; by contrast, the tree hit the car.	0	False	False	1		This is	that	; by contrast, 	False	48
This is the tree that the car hit; by contrast, the tree hit the car.	0	False	False	1		This is	that	; by contrast, 	False	48
This is the tree that the car hit; in short, the tree hit the car.	0	False	False	1		This is	that	; in short, 	True	45
This is the tree that the car hit; in short, the tree hit the car.	0	False	False	1		This is	that	; in short, 	True	45
This is the tree that the car hit; by contrast, the tree hit the car.	0	False	False	1		This is	that	; by contrast, 	False	46
This is the tree that the car hit; in short, the tree hit the car.	0	False	False	1		This is	that	; in short, 	True	43
This is the tree that the car hit; by contrast, the tree hit the car.	0	False	False	1		This is	that	; by contrast, 	False	48
This is the tree that the car hit; in short, the tree hit the car.	0	False	False	1		This is	that	; in short, 	True	45
This is the tree that the car hit; by contrast, the tree hit the car.	0	False	False	1		This is	that	; by contrast, 	False	50
This is the tree that the car hit; in short, the tree hit the car.	0	False	False	1		This is	that	; in short, 	True	47
This is the tree that the car hit; by contrast, the tree hit the car.	0	False	False	1		This is	that	; by contrast, 	False	48
This is the tree that the car hit; in short, the tree hit the car.	0	False	False	1		This is	that	; in short, 	True	45
This is the grandma that the girl kissed; by contrast, the girl kissed the grandma.	1	True	False	1		This is	that	; by contrast, 	False	55
This is the grandma that the girl kissed; by contrast, the girl kissed the grandma.	1	True	False	1		This is	that	; by contrast, 	False	55
This is the grandma that the girl kissed; in short, the girl kissed the grandma.	1	True	False	1		This is	that	; in short, 	True	52
This is the grandma that the girl kissed; in short, the girl kissed the grandma.	1	True	False	1		This is	that	; in short, 	True	52
This is the grandma that the girl kissed; by contrast, the girl kissed the grandma.	1	True	False	1		This is	that	; by contrast, 	False	53
This is the grandma that the girl kissed; in short, the girl kissed the grandma.	1	True	False	1		This is	that	; in short, 	True	50
This is the grandma that the girl kissed; by contrast, the girl kissed the grandma.	1	True	False	1		This is	that	; by contrast, 	False	55
This is the grandma that the girl kissed; in short, the girl kissed the grandma.	1	True	False	1		This is	that	; in short, 	True	52
This is the grandma that the girl kissed; by contrast, the girl kissed the grandma.	1	True	False	1		This is	that	; by contrast, 	False	57
This is the grandma that the girl kissed; in short, the girl kissed the grandma.	1	True	False	1		This is	that	; in short, 	True	54
This is the grandma that the girl kissed; by contrast, the girl kissed the grandma.	1	True	False	1		This is	that	; by contrast, 	False	55
This is the grandma that the girl kissed; in short, the girl kissed the grandma.	1	True	False	1		This is	that	; in short, 	True	52
This is the grandma that the girl kissed; by contrast, the grandma kissed the girl.	1	False	False	1		This is	that	; by contrast, 	False	55
This is the grandma that the girl kissed; by contrast, the grandma kissed the girl.	1	False	False	1		This is	that	; by contrast, 	False	55
This is the grandma that the girl kissed; in short, the grandma kissed the girl.	1	False	False	1		This is	that	; in short, 	True	52
This is the grandma that the girl kissed; in short, the grandma kissed the girl.	1	False	False	1		This is	that	; in short, 	True	52
This is the grandma that the girl kissed; by contrast, the grandma kissed the girl.	1	False	False	1		This is	that	; by contrast, 	False	53
This is the grandma that the girl kissed; in short, the grandma kissed the girl.	1	False	False	1		This is	that	; in short, 	True	50
This is the grandma that the girl kissed; by contrast, the grandma kissed the girl.	1	False	False	1		This is	that	; by contrast, 	False	55
This is the grandma that the girl kissed; in short, the grandma kissed the girl.	1	False	False	1		This is	that	; in short, 	True	52
This is the grandma that the girl kissed; by contrast, the grandma kissed the girl.	1	False	False	1		This is	that	; by contrast, 	False	57
This is the grandma that the girl kissed; in short, the grandma kissed the girl.	1	False	False	1		This is	that	; in short, 	True	54
This is the grandma that the girl kissed; by contrast, the grandma kissed the girl.	1	False	False	1		This is	that	; by contrast, 	False	55
This is the grandma that the girl kissed; in short, the grandma kissed the girl.	1	False	False	1		This is	that	; in short, 	True	52
This is the girl that the grandma kissed; by contrast, the grandma kissed the girl.	1	True	False	1		This is	that	; by contrast, 	False	55
This is the girl that the grandma kissed; by contrast, the grandma kissed the girl.	1	True	False	1		This is	that	; by contrast, 	False	55
This is the girl that the grandma kissed; in short, the grandma kissed the girl.	1	True	False	1		This is	that	; in short, 	True	52
