Surprisal	Preposition	E/D	Connective	Crossing
38.60964584350586			. Thus, 	E_nX
39.14525604248047			. That is, 	E_nX
39.06361389160156			. Therefore, 	E_nX
39.098175048828125			. In short, 	E_nX
40.450950622558594			. Again, 	E_nX
44.051429748535156			. I repeat, 	E_nX
39.3480339050293			; thus, 	E_nX
37.905113220214844			; that is, 	E_nX
40.05583190917969			; therefore, 	E_nX
39.054527282714844			; in short, 	E_nX
40.907135009765625			; again, 	E_nX
42.73375701904297			; I repeat, 	E_nX
36.17973327636719			. Thus, 	E_nX
37.17742919921875			. That is, 	E_nX
36.58856201171875			. Therefore, 	E_nX
37.24208068847656			. In short, 	E_nX
36.7392578125			. Again, 	E_nX
38.7077522277832			. I repeat, 	E_nX
36.08191680908203			; thus, 	E_nX
36.33361053466797			; that is, 	E_nX
36.537261962890625			; therefore, 	E_nX
36.54764175415039			; in short, 	E_nX
36.54769515991211			; again, 	E_nX
36.93995666503906			; I repeat, 	E_nX
38.771244049072266			. Thus, 	C_nX
39.694786071777344			. That is, 	C_nX
39.340003967285156			. Therefore, 	C_nX
39.155155181884766			. In short, 	C_nX
39.11640548706055			. Again, 	C_nX
41.486724853515625			. I repeat, 	C_nX
38.96178436279297			; thus, 	C_nX
38.21194076538086			; that is, 	C_nX
39.91033172607422			; therefore, 	C_nX
38.919620513916016			; in short, 	C_nX
38.95307922363281			; again, 	C_nX
39.9979248046875			; I repeat, 	C_nX
35.53904724121094			. Thus, 	C_nX
36.1861457824707			. That is, 	C_nX
35.70044708251953			. Therefore, 	C_nX
36.76632308959961			. In short, 	C_nX
37.75815200805664			. Again, 	C_nX
41.223411560058594			. I repeat, 	C_nX
36.24769973754883			; thus, 	C_nX
35.624366760253906			; that is, 	C_nX
36.40536880493164			; therefore, 	C_nX
36.26036834716797			; in short, 	C_nX
38.38616943359375			; again, 	C_nX
39.74148178100586			; I repeat, 	C_nX
38.60356521606445			. Thus, 	E_nX
39.181575775146484			. That is, 	E_nX
39.08245086669922			. Therefore, 	E_nX
39.001075744628906			. In short, 	E_nX
39.144752502441406			. Again, 	E_nX
41.166160583496094			. I repeat, 	E_nX
38.65752029418945			; thus, 	E_nX
37.9588623046875			; that is, 	E_nX
39.61692810058594			; therefore, 	E_nX
38.70056915283203			; in short, 	E_nX
38.97520065307617			; again, 	E_nX
39.63826370239258			; I repeat, 	E_nX
34.812042236328125			. Thus, 	E_nX
35.70256042480469			. That is, 	E_nX
35.06379699707031			. Therefore, 	E_nX
36.13093185424805			. In short, 	E_nX
36.50385284423828			. Again, 	E_nX
39.888755798339844			. I repeat, 	E_nX
35.470062255859375			; thus, 	E_nX
34.98386001586914			; that is, 	E_nX
35.84439468383789			; therefore, 	E_nX
35.77670669555664			; in short, 	E_nX
37.040733337402344			; again, 	E_nX
37.63813400268555			; I repeat, 	E_nX
38.58324432373047			. Thus, 	C_nX
39.00836181640625			. That is, 	C_nX
38.992366790771484			. Therefore, 	C_nX
39.078834533691406			. In short, 	C_nX
39.85373306274414			. Again, 	C_nX
43.25963592529297			. I repeat, 	C_nX
39.06232833862305			; thus, 	C_nX
37.59719467163086			; that is, 	C_nX
39.90972900390625			; therefore, 	C_nX
38.968379974365234			; in short, 	C_nX
39.93748092651367			; again, 	C_nX
41.127933502197266			; I repeat, 	C_nX
35.50495910644531			. Thus, 	C_nX
36.227603912353516			. That is, 	C_nX
35.78428649902344			. Therefore, 	C_nX
36.65086364746094			. In short, 	C_nX
36.34904098510742			. Again, 	C_nX
37.3649787902832			. I repeat, 	C_nX
35.37802505493164			; thus, 	C_nX
35.632652282714844			; that is, 	C_nX
35.78865051269531			; therefore, 	C_nX
35.80546569824219			; in short, 	C_nX
36.160499572753906			; again, 	C_nX
36.0226936340332			; I repeat, 	C_nX
34.21134567260742			. Thus, 	E_nX
35.1553955078125			. That is, 	E_nX
34.40293884277344			. Therefore, 	E_nX
35.596031188964844			. In short, 	E_nX
35.526363372802734			. Again, 	E_nX
38.23499298095703			. I repeat, 	E_nX
34.428218841552734			; thus, 	E_nX
