inference	item	correct	crossing
{E/D} the car {Comp} the tree hit{Conn}the tree hit the car.	0	True	False
{E/D} the car {Comp} the tree hit{Conn}the car hit the tree.	0	False	False
{E/D} the tree {Comp} the car hit{Conn}the car hit the tree.	0	True	False
{E/D} the tree {Comp} the car hit{Conn}the tree hit the car.	0	False	False
{E/D} the grandma {Comp} the girl kissed{Conn}the girl kissed the grandma.	1	True	False
{E/D} the grandma {Comp} the girl kissed{Conn}the grandma kissed the girl.	1	False	False
{E/D} the girl {Comp} the grandma kissed{Conn}the grandma kissed the girl.	1	True	False
{E/D} the girl {Comp} the grandma kissed{Conn}the girl kissed the grandma.	1	False	False
{E/D} the dog {Comp} the cat bit{Conn}the cat bit the dog.	2	True	False
{E/D} the dog {Comp} the cat bit{Conn}the dog bit the cat.	2	False	False
{E/D} the cat {Comp} the dog bit{Conn}the dog bit the cat.	2	True	False
{E/D} the cat {Comp} the dog bit{Conn}the cat bit the dog.	2	False	False
{E/D} the lion {Comp} the tiger chased{Conn}the tiger chased the lion.	3	True	False
{E/D} the lion {Comp} the tiger chased{Conn}the lion chased the tiger.	3	False	False
{E/D} the tiger {Comp} the lion chased{Conn}the lion chased the tiger.	3	True	False
{E/D} the tiger {Comp} the lion chased{Conn}the tiger chased the lion.	3	False	False
{E/D} the doctor {Comp} the patient reviewed{Conn}the patient reviewed the doctor.	4	True	False
{E/D} the doctor {Comp} the patient reviewed{Conn}the doctor reviewed the patient.	4	False	False
{E/D} the patient {Comp} the doctor reviewed{Conn}the doctor reviewed the patient.	4	True	False
{E/D} the patient {Comp} the doctor reviewed{Conn}the patient reviewed the doctor.	4	False	False
{E/D} the President {Comp} the beaurocrat noticed{Conn}the beaurocrat noticed the President.	5	True	False
{E/D} the President {Comp} the beaurocrat noticed{Conn}the President noticed the beaurocrat.	5	False	False
{E/D} the beaurocrat {Comp} the President noticed{Conn}the President noticed the beaurocrat.	5	True	False
{E/D} the beaurocrat {Comp} the President noticed{Conn}the beaurocrat noticed the President.	5	False	False
{E/D} the bride {Comp} the priest slapped{Conn}the priest slapped the bride.	6	True	False
{E/D} the bride {Comp} the priest slapped{Conn}the bride slapped the priest.	6	False	False
{E/D} the priest {Comp} the bride slapped{Conn}the bride slapped the priest.	6	True	False
{E/D} the priest {Comp} the bride slapped{Conn}the priest slapped the bride.	6	False	False
