inference	item	correct	crossing	{Prep}	{E/D}	{Comp}	{Conn}	surprisal_idx
53.360267639160156	0	True	True				, by contrast, 	46
52.76025390625	0	True	True				; by contrast, 	46
53.859161376953125	0	True	True				, on the other hand, 	52
53.44091796875	0	True	True				; on the other hand, 	52
53.43649673461914	0	True	True				, thus, 	39
53.73179244995117	0	True	True				; thus, 	39
53.757835388183594	0	True	True				, that is, 	42
53.483543395996094	0	True	True				; that is, 	42
53.954010009765625	0	True	True				, therefore, 	44
54.35816955566406	0	True	True				; therefore, 	44
53.867435455322266	0	True	True				, in short, 	43
53.673709869384766	0	True	True				; in short, 	43
35.92698287963867	0	True	False				, by contrast, 	46
35.23526382446289	0	True	False				; by contrast, 	46
36.56513977050781	0	True	False				, on the other hand, 	52
36.48186492919922	0	True	False				; on the other hand, 	52
36.3033447265625	0	True	False				, thus, 	39
35.506324768066406	0	True	False				; thus, 	39
36.724945068359375	0	True	False				, that is, 	42
36.260433197021484	0	True	False				; that is, 	42
36.06505584716797	0	True	False				, therefore, 	44
35.699195861816406	0	True	False				; therefore, 	44
36.62895202636719	0	True	False				, in short, 	43
36.84990692138672	0	True	False				; in short, 	43
52.60478973388672	0	False	True				, by contrast, 	46
52.21309280395508	0	False	True				; by contrast, 	46
53.31806182861328	0	False	True				, on the other hand, 	52
52.969608306884766	0	False	True				; on the other hand, 	52
53.068702697753906	0	False	True				, thus, 	39
52.74127960205078	0	False	True				; thus, 	39
52.568603515625	0	False	True				, that is, 	42
52.1595458984375	0	False	True				; that is, 	42
53.219818115234375	0	False	True				, therefore, 	44
53.0929069519043	0	False	True				; therefore, 	44
53.31739044189453	0	False	True				, in short, 	43
53.25419616699219	0	False	True				; in short, 	43
35.11738586425781	0	False	False				, by contrast, 	46
34.06905746459961	0	False	False				; by contrast, 	46
35.77678680419922	0	False	False				, on the other hand, 	52
35.474342346191406	0	False	False				; on the other hand, 	52
35.82907485961914	0	False	False				, thus, 	39
34.90909194946289	0	False	False				; thus, 	39
35.12488555908203	0	False	False				, that is, 	42
34.52195739746094	0	False	False				; that is, 	42
35.51599884033203	0	False	False				, therefore, 	44
34.961055755615234	0	False	False				; therefore, 	44
36.28691864013672	0	False	False				, in short, 	43
36.2288932800293	0	False	False				; in short, 	43
53.64944839477539	0	True	True				, by contrast, 	46
53.01780700683594	0	True	True				; by contrast, 	46
54.280303955078125	0	True	True				, on the other hand, 	52
53.643619537353516	0	True	True				; on the other hand, 	52
53.47378921508789	0	True	True				, thus, 	39
53.3907356262207	0	True	True				; thus, 	39
52.62026596069336	0	True	True				, that is, 	42
52.58101272583008	0	True	True				; that is, 	42
53.97069549560547	0	True	True				, therefore, 	44
54.03202819824219	0	True	True				; therefore, 	44
53.3467903137207	0	True	True				, in short, 	43
53.70677185058594	0	True	True				; in short, 	43
35.956398010253906	0	True	False				, by contrast, 	46
35.47521209716797	0	True	False				; by contrast, 	46
36.47965621948242	0	True	False				, on the other hand, 	52
36.34343719482422	0	True	False				; on the other hand, 	52
35.502288818359375	0	True	False				, thus, 	39
35.2681999206543	0	True	False				; thus, 	39
35.068206787109375	0	True	False				, that is, 	42
35.204444885253906	0	True	False				; that is, 	42
35.590545654296875	0	True	False				, therefore, 	44
35.76490783691406	0	True	False				; therefore, 	44
35.77886962890625	0	True	False				, in short, 	43
36.884681701660156	0	True	False				; in short, 	43
52.616485595703125	0	False	True				, by contrast, 	46
52.14879608154297	0	False	True				; by contrast, 	46
53.2701416015625	0	False	True				, on the other hand, 	52
52.917274475097656	0	False	True				; on the other hand, 	52
53.328834533691406	0	False	True				, thus, 	39
53.47226333618164	0	False	True				; thus, 	39
53.27134323120117	0	False	True				, that is, 	42
52.982505798339844	0	False	True				; that is, 	42
53.682044982910156	0	False	True				, therefore, 	44
53.9423828125	0	False	True				; therefore, 	44
53.360198974609375	0	False	True				, in short, 	43
53.626312255859375	0	False	True				; in short, 	43
35.633949279785156	0	False	False				, by contrast, 	46
35.2939338684082	0	False	False				; by contrast, 	46
36.0262451171875	0	False	False				, on the other hand, 	52
35.9964714050293	0	False	False				; on the other hand, 	52
36.3026008605957	0	False	False				, thus, 	39
35.54684829711914	0	False	False				; thus, 	39
36.17584991455078	0	False	False				, that is, 	42
35.59282684326172	0	False	False				; that is, 	42
35.97242736816406	0	False	False				, therefore, 	44
35.502647399902344	0	False	False				; therefore, 	44
36.84650421142578	0	False	False				, in short, 	43
36.60669708251953	0	False	False				; in short, 	43
54.354488372802734	0	True	True				, by contrast, 	45
53.73249435424805	0	True	True				; by contrast, 	45
54.80290222167969	0	True	True				, on the other hand, 	51
54.43656921386719	0	True	True				; on the other hand, 	51
54.326236724853516	0	True	True				, thus, 	38
54.727203369140625	0	True	True				; thus, 	38
54.80674362182617	0	True	True				, that is, 	41
54.420013427734375	0	True	True				; that is, 	41
54.626922607421875	0	True	True				, therefore, 	43
55.034820556640625	0	True	True				; therefore, 	43
54.43763732910156	0	True	True				, in short, 	42
54.54799270629883	0	True	True				; in short, 	42
38.883209228515625	0	True	False				, by contrast, 	45
39.0669059753418	0	True	False				; by contrast, 	45
38.70270919799805	0	True	False				, on the other hand, 	51
39.42900085449219	0	True	False				; on the other hand, 	51
38.54022216796875	0	True	False				, thus, 	38
38.67542266845703	0	True	False				; thus, 	38
38.11957550048828	0	True	False				, that is, 	41
38.50714874267578	0	True	False				; that is, 	41
38.83525848388672	0	True	False				, therefore, 	43
39.230751037597656	0	True	False				; therefore, 	43
38.0734977722168	0	True	False				, in short, 	42
38.75658416748047	0	True	False				; in short, 	42
